,fixture_id,fixture_date,fixture_timestamp,league_id,league_name,league_country,league_season,league_round,teams_home_id,teams_home_name,teams_away_id,teams_away_name
74,27593,2018-09-30 16:00:00+00:00,1538323200,141,Segunda Division,Spain,2018,7,727,Osasuna,717,Numancia
75,27594,2018-09-29 16:00:00+00:00,1538236800,141,Segunda Division,Spain,2018,7,731,Sporting Gijon,534,Las Palmas
76,27595,2018-09-29 18:30:00+00:00,1538245800,141,Segunda Division,Spain,2018,7,719,Tenerife,724,Cadiz
77,27596,2018-10-07 18:00:00+00:00,1538935200,141,Segunda Division,Spain,2018,8,724,Cadiz,714,Gimnastic
78,27597,2018-10-06 18:00:00+00:00,1538848800,141,Segunda Division,Spain,2018,8,713,Cordoba,723,Almeria
79,27598,2018-10-07 16:00:00+00:00,1538928000,141,Segunda Division,Spain,2018,8,544,Deportivo La Coruna,535,Malaga
80,27599,2018-10-07 16:00:00+00:00,1538928000,141,Segunda Division,Spain,2018,8,797,Elche,716,Lugo
81,27600,2018-10-06 18:30:00+00:00,1538850600,141,Segunda Division,Spain,2018,8,534,Las Palmas,711,Alcorcon
82,27601,2018-10-06 14:00:00+00:00,1538834400,141,Segunda Division,Spain,2018,8,798,Mallorca,719,Tenerife
83,27602,2018-10-06 16:00:00+00:00,1538841600,141,Segunda Division,Spain,2018,8,717,Numancia,860,Extremadura
84,27603,2018-10-07 14:00:00+00:00,1538920800,141,Segunda Division,Spain,2018,8,718,Oviedo,722,Albacete
85,27604,2018-10-08 18:00:00+00:00,1539021600,141,Segunda Division,Spain,2018,8,861,Rayo Majadahonda,731,Sporting Gijon
86,27605,2018-10-07 10:00:00+00:00,1538906400,141,Segunda Division,Spain,2018,8,729,Reus,715,Granada CF
87,27606,2018-10-08 19:00:00+00:00,1539025200,141,Segunda Division,Spain,2018,8,732,Zaragoza,727,Osasuna
88,27607,2018-10-13 18:30:00+00:00,1539455400,141,Segunda Division,Spain,2018,9,723,Almeria,534,Las Palmas
89,27608,2018-10-12 19:00:00+00:00,1539370800,141,Segunda Division,Spain,2018,9,544,Deportivo La Coruna,797,Elche
90,27609,2018-10-12 16:00:00+00:00,1539360000,141,Segunda Division,Spain,2018,9,860,Extremadura,724,Cadiz
